datetime,id,consumption,generation
2012-07-15 21:00,102,1.2845,0.0
2012-07-15 22:00,102,1.291,0.0
2012-07-15 23:00,102,0.19,0.0
2012-07-16 0:00,102,0.099,0.0
2012-07-16 1:00,102,0.115,0.0
2012-07-16 2:00,102,0.099,0.0
2012-07-16 3:00,102,0.095,0.0
2012-07-16 4:00,102,0.1065,0.0
2012-07-16 5:00,102,0.108,0.0
2012-07-16 6:00,102,0.169,0.0
2012-07-16 7:00,102,0.81,0.0065
2012-07-16 8:00,102,0.6355,0.078
2012-07-16 9:00,102,0.7205,0.2255
2012-07-16 10:00,102,1.071,0.375
2012-07-16 11:00,102,0.957,0.416
2012-07-16 12:00,102,0.823,0.463
2012-07-16 13:00,102,0.613,0.469
2012-07-16 14:00,102,0.5915,0.2845
2012-07-16 15:00,102,0.6325,0.0535
2012-07-16 16:00,102,0.4345,0.003
2012-07-16 17:00,102,1.0945,0.0
2012-07-16 18:00,102,1.0535,0.0
2012-07-16 19:00,102,0.7585,0.0
2012-07-16 20:00,102,1.223,0.0
2012-07-16 21:00,102,1.3495,0.0
2012-07-16 22:00,102,0.9245,0.0
2012-07-16 23:00,102,0.1225,0.0
2012-07-17 0:00,102,0.114,0.0
2012-07-17 1:00,102,0.1115,0.0
2012-07-17 2:00,102,0.086,0.0
2012-07-17 3:00,102,0.1025,0.0
2012-07-17 4:00,102,0.109,0.0
2012-07-17 5:00,102,0.1085,0.0
2012-07-17 6:00,102,0.3645,0.0
2012-07-17 7:00,102,0.7425,0.0065
2012-07-17 8:00,102,0.7945,0.088
2012-07-17 9:00,102,0.6965,0.225
2012-07-17 10:00,102,0.9195,0.369
2012-07-17 11:00,102,1.202,0.4035
2012-07-17 12:00,102,1.287,0.469
2012-07-17 13:00,102,0.406,0.481
2012-07-17 14:00,102,0.314,0.294
2012-07-17 15:00,102,0.3795,0.05
2012-07-17 16:00,102,0.4985,0.003
2012-07-17 17:00,102,0.967,0.0
2012-07-17 18:00,102,0.683,0.0
2012-07-17 19:00,102,0.9345,0.0
2012-07-17 20:00,102,1.025,0.0
2012-07-17 21:00,102,0.9775,0.0
2012-07-17 22:00,102,0.9535,0.0
2012-07-17 23:00,102,0.138,0.0
2012-07-18 0:00,102,0.119,0.0
2012-07-18 1:00,102,0.0965,0.003
2012-07-18 2:00,102,0.0995,0.0
2012-07-18 3:00,102,0.129,0.0
2012-07-18 4:00,102,0.113,0.0
2012-07-18 5:00,102,0.1215,0.0
2012-07-18 6:00,102,0.135,0.0
2012-07-18 7:00,102,0.3545,0.0095
2012-07-18 8:00,102,0.7065,0.0565
2012-07-18 9:00,102,0.761,0.219
2012-07-18 10:00,102,0.7765,0.366
2012-07-18 11:00,102,0.546,0.425
2012-07-18 12:00,102,0.511,0.472
2012-07-18 13:00,102,0.376,0.4845
2012-07-18 14:00,102,0.1465,0.3155
2012-07-18 15:00,102,0.125,0.047
2012-07-18 16:00,102,0.2145,0.003
2012-07-18 17:00,102,0.281,0.0
2012-07-18 18:00,102,0.8885,0.0
2012-07-18 19:00,102,1.148,0.0
2012-07-18 20:00,102,1.112,0.0
2012-07-18 21:00,102,1.102,0.0
2012-07-18 22:00,102,0.694,0.0
2012-07-18 23:00,102,0.1035,0.0
2012-07-19 0:00,102,0.1095,0.0
2012-07-19 1:00,102,0.0995,0.0
2012-07-19 2:00,102,0.097,0.0
2012-07-19 3:00,102,0.1055,0.003
2012-07-19 4:00,102,0.0905,0.0
2012-07-19 5:00,102,0.1325,0.0
2012-07-19 6:00,102,0.129,0.0
2012-07-19 7:00,102,0.679,0.0155
2012-07-19 8:00,102,0.852,0.0845
2012-07-19 9:00,102,0.825,0.1375
2012-07-19 10:00,102,0.7535,0.328
2012-07-19 11:00,102,1.0955,0.219
2012-07-19 12:00,102,1.32,0.219
2012-07-19 13:00,102,1.0705,0.2905
2012-07-19 14:00,102,1.096,0.2285
2012-07-19 15:00,102,0.8875,0.044
2012-07-19 16:00,102,0.672,0.006
2012-07-19 17:00,102,1.0545,0.0
2012-07-19 18:00,102,1.011,0.0
2012-07-19 19:00,102,1.029,0.0
2012-07-19 20:00,102,1.347,0.0
2012-07-19 21:00,102,1.248,0.0
2012-07-19 22:00,102,1.1915,0.0
2012-07-19 23:00,102,0.17,0.0
2012-07-20 0:00,102,0.0985,0.0
2012-07-20 1:00,102,0.1205,0.0
2012-07-20 2:00,102,0.1145,0.0
2012-07-20 3:00,102,0.0975,0.0
2012-07-20 4:00,102,0.1255,0.0
2012-07-20 5:00,102,0.137,0.0
2012-07-20 6:00,102,0.161,0.0
2012-07-20 7:00,102,0.78,0.0065
2012-07-20 8:00,102,0.91,0.0875
2012-07-20 9:00,102,1.3555,0.2345
2012-07-20 10:00,102,1.373,0.375
2012-07-20 11:00,102,1.1665,0.4345
2012-07-20 12:00,102,1.3055,0.4535
2012-07-20 13:00,102,0.941,0.4095
2012-07-20 14:00,102,0.8905,0.35
2012-07-20 15:00,102,0.946,0.044
2012-07-20 16:00,102,0.8135,0.003
2012-07-20 17:00,102,0.843,0.0
2012-07-20 18:00,102,0.7185,0.0
2012-07-20 19:00,102,0.656,0.0
2012-07-20 20:00,102,0.664,0.003
2012-07-20 21:00,102,0.747,0.0
2012-07-20 22:00,102,0.7935,0.0
2012-07-20 23:00,102,0.17,0.0
2012-07-21 0:00,102,0.104,0.0
2012-07-21 1:00,102,0.1035,0.0
2012-07-21 2:00,102,0.11,0.0
2012-07-21 3:00,102,0.093,0.0
2012-07-21 4:00,102,0.299,0.0
2012-07-21 5:00,102,0.582,0.0
2012-07-21 6:00,102,0.129,0.0
2012-07-21 7:00,102,0.2545,0.0065
2012-07-21 8:00,102,0.18,0.0125
2012-07-21 9:00,102,0.6275,0.0595
2012-07-21 10:00,102,0.738,0.075
2012-07-21 11:00,102,0.8595,0.153
2012-07-21 12:00,102,1.2295,0.1005
2012-07-21 13:00,102,0.546,0.075
2012-07-21 14:00,102,0.6045,0.056
2012-07-21 15:00,102,0.95,0.0625
2012-07-21 16:00,102,1.287,0.0185
2012-07-21 17:00,102,1.2735,0.0
2012-07-21 18:00,102,1.323,0.0
2012-07-21 19:00,102,1.339,0.0
2012-07-21 20:00,102,0.859,0.0
2012-07-21 21:00,102,0.7395,0.0
2012-07-21 22:00,102,0.136,0.0
2012-07-21 23:00,102,0.091,0.0
2012-07-22 0:00,102,0.1175,0.0
2012-07-22 1:00,102,0.107,0.0
2012-07-22 2:00,102,0.106,0.0
2012-07-22 3:00,102,0.119,0.003
2012-07-22 4:00,102,0.102,0.0
2012-07-22 5:00,102,0.1395,0.0
2012-07-22 6:00,102,0.1135,0.0
2012-07-22 7:00,102,0.667,0.0095
2012-07-22 8:00,102,0.6015,0.075
2012-07-22 9:00,102,0.626,0.128
2012-07-22 10:00,102,0.6215,0.138
2012-07-22 11:00,102,0.5835,0.253
2012-07-22 12:00,102,0.6145,0.2595
2012-07-22 13:00,102,0.5555,0.1655
2012-07-22 14:00,102,0.149,0.2315
2012-07-22 15:00,102,0.1595,0.044
2012-07-22 16:00,102,0.699,0.0065
2012-07-22 17:00,102,0.577,0.0
2012-07-22 18:00,102,0.4945,0.0
2012-07-22 19:00,102,0.906,0.0
2012-07-22 20:00,102,0.879,0.0
2012-07-22 21:00,102,0.962,0.0
2012-07-22 22:00,102,0.18,0.0
2012-07-22 23:00,102,0.118,0.0
2012-07-23 0:00,102,0.0955,0.0
2012-07-23 1:00,102,0.095,0.0
2012-07-23 2:00,102,0.11,0.003
2012-07-23 3:00,102,0.0815,0.0
2012-07-23 4:00,102,0.1225,0.0
2012-07-23 5:00,102,0.1045,0.0
2012-07-23 6:00,102,0.133,0.0
2012-07-23 7:00,102,0.2485,0.003
2012-07-23 8:00,102,0.581,0.088
2012-07-23 9:00,102,0.5615,0.2405
2012-07-23 10:00,102,0.478,0.353
2012-07-23 11:00,102,0.1015,0.247
2012-07-23 12:00,102,0.0745,0.3065
2012-07-23 13:00,102,0.1145,0.469
2012-07-23 14:00,102,0.0785,0.3095
2012-07-23 15:00,102,0.134,0.0625
2012-07-23 16:00,102,0.1095,0.0125
2012-07-23 17:00,102,1.3195,0.0
2012-07-23 18:00,102,1.2225,0.0
2012-07-23 19:00,102,1.19,0.0
2012-07-23 20:00,102,1.1675,0.003
2012-07-23 21:00,102,1.1455,0.0
2012-07-23 22:00,102,0.34,0.0
2012-07-23 23:00,102,0.1,0.0
2012-07-24 0:00,102,0.0975,0.0
2012-07-24 1:00,102,0.098,0.0
2012-07-24 2:00,102,0.0955,0.0
2012-07-24 3:00,102,0.0985,0.0
2012-07-24 4:00,102,0.1045,0.0
2012-07-24 5:00,102,0.1215,0.0
2012-07-24 6:00,102,0.103,0.0
2012-07-24 7:00,102,0.596,0.0185
2012-07-24 8:00,102,0.838,0.069
2012-07-24 9:00,102,0.5425,0.069
2012-07-24 10:00,102,0.1045,0.0845
2012-07-24 11:00,102,0.1125,0.0595
2012-07-24 12:00,102,0.077,0.0595
2012-07-24 13:00,102,0.1095,0.1095
2012-07-24 14:00,102,0.1085,0.05
2012-07-24 15:00,102,0.1175,0.0625
2012-07-24 16:00,102,0.085,0.0065
2012-07-24 17:00,102,0.7685,0.0
2012-07-24 18:00,102,0.6635,0.0
2012-07-24 19:00,102,0.6005,0.0
2012-07-24 20:00,102,0.6005,0.0
2012-07-24 21:00,102,0.622,0.0
2012-07-24 22:00,102,0.1415,0.0
2012-07-24 23:00,102,0.082,0.0
2012-07-25 0:00,102,0.1095,0.0
2012-07-25 1:00,102,0.093,0.0
2012-07-25 2:00,102,0.1005,0.0
2012-07-25 3:00,102,0.096,0.0
2012-07-25 4:00,102,0.105,0.0
2012-07-25 5:00,102,0.5025,0.0
2012-07-25 6:00,102,0.3125,0.0
