id,month,consumption,generation,price
153,12,134.0635,140.13,93.3
154,1,160.4175,65.5785,93.3
154,2,152.359,53.8105,93.3
154,3,173.472,49.4495,93.3
154,4,144.401,38.6125,93.3
154,5,182.532,34.244,93.3
154,6,210.6355,21.763,98.1
154,7,229.5695,29.1995,105.5
154,8,193.51,43.372,93.3
154,9,154.4015,52.598,93.3
154,10,157.902,64.706,93.3
154,11,144.717,62.7475,93.3
154,12,178.573,66.516,93.3
155,1,75.549,108.188,93.3
155,2,69.991,86.844,93.3
155,3,71.097,89.4455,93.3
155,4,78.7685,69.9855,93.3
155,5,113.4385,65.422,93.3
155,6,149.6105,39.971000000000004,93.3
155,7,124.8155,54.977,93.3
155,8,108.1185,80.0555,93.3
155,9,73.314,98.543,93.3
155,10,76.275,112.9935,93.3
155,11,84.922,98.2885,93.3
155,12,97.154,102.5465,93.3
156,1,367.4775,105.6885,136.4
156,2,313.2995,91.2605,127.5
156,3,306.4065,92.86,126.2
156,4,326.718,73.2375,130.0
156,5,375.5365,70.488,137.5
156,6,411.2335,44.981,192.8
156,7,403.035,58.6855,189.3
156,8,368.566,83.9235,136.6
156,9,312.5945,101.5235,127.4
156,10,307.066,113.4065,126.3
156,11,264.2785,98.244,116.3
156,12,312.539,106.646,127.4
157,1,147.621,767.7935,93.3
157,2,168.3065,649.8525,93.3
157,3,263.4445,648.0955,116.1
157,4,301.835,503.55400000000003,125.2
157,5,458.534,476.289,208.9
157,6,662.6325,339.769,240.5
157,7,643.934,420.765,238.8
157,8,581.3295,591.802,232.0
157,9,313.5765,717.6015,127.6
157,10,287.469,787.026,122.1
157,11,274.5385,697.581,119.0
157,12,305.046,747.9615,125.9
158,1,280.5825,110.5965,120.5
158,2,251.167,9.7265,112.6
158,3,270.294,25.1055,117.9
158,4,180.4375,168.53300000000002,93.3
158,5,185.966,164.9395,93.3
158,6,203.537,111.7885,94.9
158,7,202.9255,143.458,94.7
158,8,209.0235,181.1015,97.4
158,9,289.265,0.0,122.5
158,10,313.063,0.0,127.5
158,11,293.695,0.0,123.5
158,12,329.5065,118.565,130.5
159,1,406.912,147.3,191.0
159,2,358.8045,123.7505,135.2
159,3,255.755,133.421,113.9
159,4,213.186,120.124,99.2
159,5,131.8385,125.6475,93.3
159,6,132.86,86.264,93.3
159,7,291.975,106.0545,123.1
159,8,291.236,144.649,122.9
159,9,221.3835,161.306,102.4
159,10,275.4355,167.762,119.2
159,11,291.39,136.8455,123.0
159,12,381.8165,142.038,138.3
160,1,501.282,67.7765,219.1
160,2,444.992,58.3065,204.9
160,3,415.7745,62.0065,194.7
160,4,375.87,51.5525,137.6
160,5,296.2395,52.618,124.0
160,6,359.816,35.1335,135.3
160,7,337.5715,45.8695,131.9
160,8,296.2695,61.251,124.0
160,9,201.561,69.8585,94.0
160,10,253.877,74.3805,113.4
160,11,297.924,62.116,124.4
160,12,371.2835,64.204,136.9
161,1,238.4445,208.1655,108.6
161,2,223.124,173.2185,103.1
161,3,241.4815,158.8415,109.6
161,4,272.156,118.375,118.4
161,5,426.862,88.7725,198.9
161,6,476.985,58.674,213.7
161,7,552.491,77.1075,228.0
161,8,338.5455,125.153,132.0
161,9,241.708,183.3525,109.6
161,10,223.561,214.7305,103.3
161,11,226.6985,199.381,104.4
161,12,217.883,212.5275,101.1
162,1,142.294,74.397,93.3
162,2,102.38850000000001,61.119,93.3
162,3,119.8395,58.3565,93.3
162,4,132.3975,46.984,93.3
162,5,167.263,41.882,93.3
162,6,245.734,26.7085,110.9
162,7,255.688,33.2645,113.9
162,8,153.145,49.3235,93.3
162,9,125.69500000000001,59.5545,93.3
162,10,124.00750000000001,71.418,93.3
162,11,105.149,67.0775,93.3
162,12,116.0845,75.3445,93.3
163,1,144.862,75.499,93.3
163,2,86.793,60.7685,93.3
163,3,75.782,63.47,93.3
163,4,43.909,50.2215,93.3
163,5,136.983,49.853,93.3
163,6,114.7465,34.2195,93.3
163,7,150.7265,43.9225,93.3
163,8,136.623,61.3,93.3
163,9,113.097,72.601,93.3
163,10,127.08,77.9965,93.3
163,11,106.2125,66.4885,93.3
163,12,134.0805,73.409,93.3
164,1,112.657,97.8485,93.3
164,2,109.7825,82.403,93.3
164,3,129.8575,83.017,93.3
164,4,116.1085,70.615,93.3
164,5,123.4765,64.097,93.3
164,6,241.118,42.0825,109.4
164,7,208.231,53.1405,97.0
164,8,159.5145,81.133,93.3
164,9,156.076,95.8175,93.3
164,10,161.2635,102.49249999999999,93.3
164,11,142.67,90.7795,93.3
164,12,101.0235,96.837,93.3
165,1,102.5155,65.3575,93.3
165,2,89.9735,55.645,93.3
165,3,95.493,35.348,93.3
165,4,108.546,21.8825,93.3
165,5,179.6215,34.935,93.3
165,6,218.261,23.1575,101.2
165,7,239.085,29.3785,108.8
165,8,204.8865,44.1435,95.6
165,9,132.582,59.2,93.3
165,10,113.4865,68.84,93.3
165,11,91.8895,62.8265,93.3
165,12,88.994,65.2235,93.3
166,1,365.7135,85.0155,136.2
166,2,346.8515,62.729,133.4
166,3,343.4905,68.108,132.8
166,4,381.7575,52.6285,138.3
166,5,398.859,31.018,140.5
166,6,411.4705,23.1915,192.9
166,7,374.404,32.044,137.4
166,8,341.05,51.9775,132.4
166,9,350.526,75.19,133.9
166,10,403.459,83.3865,189.5
166,11,401.2745,77.054,188.5
166,12,465.4025,85.177,210.7
167,1,206.851,177.5535,96.4
167,2,165.9445,159.907,93.3
167,3,184.30949999999999,167.3675,93.3
167,4,171.1135,129.8855,93.3
167,5,141.808,122.536,93.3
167,6,283.1235,72.152,121.1
167,7,311.523,98.092,127.2
167,8,237.359,152.015,108.2
167,9,164.749,186.294,93.3
167,10,160.8505,200.056,93.3
167,11,162.245,169.482,93.3
167,12,141.188,169.3695,93.3
168,1,120.1755,73.5695,93.3
168,2,99.9025,62.972,93.3
168,3,98.7305,71.168,93.3
168,4,111.935,59.6115,93.3
168,5,135.821,64.1165,93.3
168,6,166.7565,41.125,93.3
168,7,172.513,55.584,93.3
168,8,149.9735,74.6555,93.3
168,9,114.2375,82.31,93.3
168,10,129.9505,82.87049999999999,93.3
168,11,115.0345,67.912,93.3
168,12,117.985,70.72,93.3
169,1,131.443,133.0085,93.3
169,2,129.9755,117.9815,93.3
169,3,139.104,129.2745,93.3
169,4,135.5485,100.965,93.3
169,5,157.6105,86.9675,93.3
169,6,189.3235,53.686,93.3
169,7,188.6665,71.3425,93.3
169,8,159.836,115.1455,93.3
169,9,128.0565,147.783,93.3
169,10,120.856,156.1635,93.3
169,11,114.0245,127.0245,93.3
169,12,136.888,130.831,93.3
170,1,249.611,113.797,112.1
170,2,224.724,95.687,103.7
170,3,244.37,92.136,110.5
170,4,216.397,78.469,100.5
170,5,237.601,79.158,108.3
170,6,256.926,56.7675,114.3
170,7,290.126,70.7075,122.7
170,8,291.0625,97.1,122.9
170,9,196.033,110.484,93.3
170,10,233.5855,118.287,106.9
170,11,245.34,102.175,110.8
170,12,243.832,110.387,110.3
171,1,100.385,75.256,93.3
171,2,82.802,59.3845,93.3
171,3,89.148,57.6275,93.3
171,4,83.792,42.291,93.3
171,5,84.002,37.2155,93.3
171,6,172.96,24.0505,93.3
171,7,145.3035,31.557,93.3
171,8,145.728,45.802,93.3
171,9,87.5475,61.5555,93.3
171,10,83.0015,77.2,93.3
171,11,88.878,68.30799999999999,93.3
171,12,105.441,73.7165,93.3
172,1,179.131,59.4065,93.3
172,2,161.5025,48.1295,93.3
172,3,191.548,54.8555,93.3
172,4,189.4675,50.1915,93.3
172,5,264.0985,50.2505,116.3
172,6,319.643,31.9355,128.7
172,7,290.362,43.572,122.7
172,8,188.354,62.9715,93.3
172,9,74.4895,69.752,93.3
172,10,142.2685,68.465,93.3
172,11,173.9485,56.042,93.3
172,12,154.1345,58.92,93.3
173,1,167.0565,186.2235,93.3
173,2,210.962,154.8485,98.2
173,3,204.9885,166.851,95.6
173,4,153.535,145.1995,93.3
173,5,298.712,139.866,124.6
173,6,478.921,91.3075,214.1
173,7,429.9675,116.488,200.0
173,8,272.6465,167.4875,118.5
173,9,197.308,196.617,93.3
173,10,185.7295,207.676,93.3
173,11,199.122,168.441,93.3
173,12,195.1545,178.608,93.3
174,1,137.6965,62.849000000000004,93.3
174,2,150.6875,50.2125,93.3
174,3,161.0105,49.1135,93.3
174,4,130.2715,31.775,93.3
174,5,175.516,18.5635,93.3
174,6,154.3435,12.0875,93.3
174,7,187.916,16.816,93.3
174,8,176.136,26.7255,93.3
174,9,142.7555,51.6875,93.3
174,10,156.173,66.0145,93.3
174,11,159.1205,60.5865,93.3
174,12,139.716,63.079,93.3
175,1,303.5385,108.0315,125.6
175,2,282.247,93.483,120.9
175,3,326.358,98.989,129.9
175,4,295.763,80.1665,123.9
175,5,391.56850000000003,84.0835,139.6
175,6,410.904,59.0025,192.7
175,7,390.3705,72.706,139.4
175,8,499.9265,101.028,218.8
175,9,314.3255,113.8265,127.7
175,10,282.901,118.4415,121.0
175,11,245.72050000000002,98.7805,110.9
175,12,247.772,103.322,111.5
176,1,170.2625,131.13400000000001,93.3
176,2,154.38400000000001,111.88,93.3
176,3,115.5275,114.6015,93.3
176,4,134.366,87.94800000000001,93.3
176,5,155.2315,92.162,93.3
176,6,144.295,67.67399999999999,93.3
176,7,212.9925,81.4155,99.1
176,8,170.888,109.0235,93.3
176,9,130.4045,129.227,93.3
176,10,125.4675,139.3565,93.3
176,11,156.147,118.8335,93.3
176,12,218.634,126.49849999999999,101.4
177,1,184.626,99.647,93.3
177,2,191.93,82.8315,93.3
177,3,161.8195,86.0825,93.3
177,4,179.302,66.08500000000001,93.3
177,5,201.546,66.49,94.0
177,6,181.259,44.3555,93.3
177,7,215.716,56.7925,100.2
177,8,211.8595,77.2015,98.6
177,9,157.893,96.156,93.3
177,10,159.448,107.9465,93.3
177,11,127.2895,92.3265,93.3
177,12,156.931,98.3415,93.3
178,1,153.0605,68.424,93.3
178,2,126.191,61.758,93.3
178,3,112.0285,63.3415,93.3
178,4,138.8785,50.707,93.3
